Page,Edits,Editors,Views
"Обрядові та обрядово-календарні пісні",?,?,15455
"День батька",?,?,15392
"Білецький Андрій Євгенійович",?,?,15339
"Лемюель Гулівер",?,?,15300
"Орден «За мужність»",?,?,15212
"Збірна України з футболу",?,?,15205
"Історія української мови",?,?,15200
"Харків",?,?,15172
"Ромашка лікарська",?,?,15148
"Список Героїв України",?,?,15119
"Ліцензія на програмне забезпечення",?,?,15116
"Коломийка",?,?,15087
"Опришки",?,?,15084
"Швейцарія",?,?,15061
"Сили спеціальних операцій Збройних сил України",?,?,15047
"Штучний інтелект",?,?,14937
"Військово-облікова спеціальність",?,?,14920
"Комп'ютер",?,?,14891
"Данте Аліг'єрі",?,?,14879
"Наєв Сергій Іванович",?,?,14867
"Одіссея",?,?,14817
"Іван Сірко",?,?,14788
"Михайль Семенко",?,?,14769
"Список хімічних елементів",?,?,14723
"Comfy",?,?,14708
"Heart of stone",?,?,14687
"Фразеологізм",?,?,14645
"Кліщіївка",?,?,14622
"Ізраїль",?,?,14611
"Адольф Гітлер",?,?,14600
"Материк",?,?,14568
"Хіба ревуть воли, як ясла повні?",?,?,14506
"Бахмут",?,?,14466
"Словосполучення",?,?,14464
"Володимир Святославич",?,?,14450
"Західний фронт (Перша світова війна)",?,?,14439
"95-та окрема десантно-штурмова бригада (Україна)",?,?,14411
"Список кодів МКХ-10",?,?,14407
"Список країн за ВВП (номінал)",?,?,14390
"Соціальна мережа",?,?,14279
"Українці",?,?,14277
"Карпачов Дмитро Вільямович",?,?,14270
"Кишковопорожнинні",?,?,14266
"Лептоспіроз",?,?,14261
"Список президентів України",?,?,14200
"Антанта",?,?,14187
"Список країн за індексом людського розвитку",?,?,14163
"Костянтинівка",?,?,14162
"Нептун (крилата ракета)",?,?,14132
"Національна поліція України",?,?,14052
"Сексуальна освіта (серіал, 2019)",?,?,14040
"Італія",?,?,14036
"82-га окрема десантно-штурмова бригада (Україна)",?,?,14030
"Тимчасово окуповані території України",?,?,14024
"Пін-ап",?,?,14016
"Головна українська рада",?,?,13970
"Голодомор в Україні (1932—1933)",?,?,13955
"Слов'яни",?,?,13904
"YAKTAK",?,?,13830
"С-300",?,?,13827
"Історія",?,?,13819
"Кам'янець-Подільський",?,?,13760
"Амброзія (рослина)",?,?,13746
"Pinterest",?,?,13728
"Таблиця математичних символів",?,?,13717
"Легіонельоз",?,?,13696
"Калібр (ракета)",?,?,13670
"Населення України",?,?,13649
"Реєстраційний номер облікової картки платника податків",?,?,13631
"Парламентські вибори в Польщі 2023",?,?,13625
"Софійський собор (Київ)",?,?,13575
"Інформаційна система",?,?,13542
"Адаптація",?,?,13498
"Кріштіану Роналду",?,?,13494
"Українські народні пісні",?,?,13420
"Океан",?,?,13403
"Код ЄДРПОУ",?,?,13374
"Герой України",?,?,13373
"Відродження",?,?,13362
"68-ма окрема єгерська бригада (Україна)",?,?,13361
"Національна гвардія України",?,?,13360
"Норвегія",?,?,13359
"Юрик (фільм)",?,?,13359
"Ланцет (баражуючий боєприпас)",?,?,13347
"Велике князівство Литовське",?,?,13330
"Органела",?,?,13322
"Тварини",?,?,13320
"Васко да Гама",?,?,13294
"ПриватБанк",?,?,13254
"Інформаційні технології",?,?,13250
"Костенко Ліна Василівна",?,?,13246
"Жінки в Першій світовій війні",?,?,13222
"Румунія",?,?,13221
"Конституція України",?,?,13207
"Вінниця",?,?,13146
"Синонім",?,?,13106
"Чорноморський флот ВМФ Росії",?,?,13103
"Ярослав Мудрий",?,?,13075
"Єрмак Андрій Борисович",?,?,13068
"Генерал-лейтенант",?,?,13064
"14/88",?,?,13031
"Структура Збройних сил України",?,?,13027
"72-га окрема мотострілецька бригада (РФ)",?,?,13009
"Верденська битва",?,?,12983
"Російська імперія",?,?,12981
"Віра, Надія, Любов та матір їх Софія",?,?,12938
"Українська Радянська Соціалістична Республіка",?,?,12902
"Втрати силових структур внаслідок російського вторгнення в Україну",?,?,12889
"Варварські королівства",?,?,12877
"21 вересня",?,?,12819
"ASCII",?,?,12771
"Земля",?,?,12751
"Нарукавні знаки Збройних сил України",?,?,12746
"Селім II",?,?,12718
"Хлодвіг",?,?,12682
"Таблиця дільників",?,?,12671
"Японія",?,?,12647
"Троїстий союз",?,?,12637
"Філософія",?,?,12617
"Наслідки Першої світової війни",?,?,12604
"Дніпро",?,?,12578
"Хрещення Русі",?,?,12572
"Ліонель Мессі",?,?,12535
"Відкриття Америки Колумбом",?,?,12500
"1 жовтня",?,?,12499
"Google",?,?,12459
"Верховна Рада України",?,?,12459
"Ан-225 «Мрія»",?,?,12457
"Націонал-соціалізм",?,?,12450
"Ужгород",?,?,12446
"Людина",?,?,12409
"Українські соціально-побутові пісні",?,?,12396
"Орден «За заслуги» (Україна)",?,?,12374
"Ольга (княгиня)",?,?,12354
"Карпати",?,?,12352
"Бригада (військова справа)",?,?,12343
"Австралія",?,?,12337
"Картографічна проєкція",?,?,12309
"Майкл Гембон",?,?,12287
"Іспанія",?,?,12282
"Піраміда потреб Абрагама Маслоу",?,?,12259
"Мі-8",?,?,12248
"Римська система числення",?,?,12242
"Арахамія Давид Георгійович",?,?,12235
"93-тя окрема механізована бригада «Холодний Яр»",?,?,12225
"Бабин Яр",?,?,12198
"Скіфи",?,?,12196
"Міста України (список)",?,?,12172
"Модерн (мистецтво)",?,?,12165
"Терези (знак зодіаку)",?,?,12138
"Культура",?,?,12132
"Сирський Олександр Станіславович",?,?,12122
"Святослав Ігорович",?,?,12108
"Інформаційна безпека",?,?,12102
"Екологія",?,?,12077
"Гетьманщина",?,?,12072
"Кирило-Мефодіївське товариство",?,?,12063
"Ґ",?,?,12043
"80-та окрема десантно-штурмова бригада (Україна)",?,?,12012
"Комп'ютерний вірус",?,?,12005
"72-га окрема механізована бригада (Україна)",?,?,11991
"Первісна культура",?,?,11971
"Демократія",?,?,11968
"Балістична ракета",?,?,11961
"МіГ-29",?,?,11959
"Австрія",?,?,11938
"Козаки",?,?,11936
"Гривня",?,?,11918
"МіГ-31",?,?,11912
"Південна Корея",?,?,11886
"Президентські вибори у США 2024",?,?,11849
"One Piece",?,?,11841
"Чернівці",?,?,11828
"Головний військовий клінічний госпіталь імені М. Н. Бурденка",?,?,11821
"Сулейман I",?,?,11815
"Барбі (фільм)",?,?,11804
"112-та окрема бригада територіальної оборони (Україна)",?,?,11791
"Надзвичайна ситуація",?,?,11789
"Список країн за площею",?,?,11743
"Prom.ua",?,?,11742
"Тризуб",?,?,11728
"77-ма окрема аеромобільна бригада (Україна)",?,?,11721
"Сталін Йосип Віссаріонович",?,?,11705
"Говерла",?,?,11685
"Ліпіди",?,?,11682
"Міжнародний день миру",?,?,11642
"Хмельницький",?,?,11632
"Сільпо (торговельна мережа)",?,?,11630
"General Dynamics F-16 Fighting Falcon",?,?,11616
"Вода",?,?,11615
"Ліга чемпіонів УЄФА",?,?,11598
"Арестович Олексій Миколайович",?,?,11598
"Коцюбайло Дмитро Іванович",?,?,11566
"Мая (цивілізація)",?,?,11565
"Міжнародна система одиниць (SI)",?,?,11554
"AUTO.RIA",?,?,11554
"Бельгія",?,?,11545
"Олег Віщий",?,?,11525
"Словаччина",?,?,11490
"Вуглеводи",?,?,11455
"Сонячна система",?,?,11453
"Стус Василь Семенович",?,?,11453
"Червінський Роман Григорович",?,?,11434
"Нервова система",?,?,11410
"Методи біологічних досліджень",?,?,11407
"Фізика",?,?,11399
"Російське вторгнення в Україну (2022)",?,?,11380
"Велике переселення народів",?,?,11375
"Прислів'я",?,?,11339
"Молдова",?,?,11334
"Коран",?,?,11331
"Античність",?,?,11313
"Однорідні члени речення",?,?,11308
"Економіка України",?,?,11296
"Періодизація історії",?,?,11289
"Пес свійський",?,?,11286
"Орден Богдана Хмельницького (Україна)",?,?,11266
"Угорщина",?,?,11264
"Асока (серіал)",?,?,11230
"Б-237 «Ростов-на-Дону»",?,?,11215
"Берестейська унія",?,?,11176
"Пивоваров Артем Володимирович",?,?,11172
"Албанія",?,?,11157
"Величне століття. Роксолана",?,?,11115
"Маріуполь",?,?,11098
"Ранній новий період",?,?,11045
"Рудницький Степан Львович",?,?,11044
"Нікітюк Леся Іванівна",?,?,11040
"Кім Чен Ин",?,?,11026
"Google Classroom",?,?,11019
"Індіана Джонс і реліквія долі",?,?,11018
"Ісус Христос",?,?,11005
"Топографічна карта",?,?,10985
"Тіна Кароль",?,?,10965
"Категорії придатності до військової служби",?,?,10957
"Юдаїзм",?,?,10955
"Європа",?,?,10939
"Східні слов'яни",?,?,10915
"S",?,?,10901
"Хімія",?,?,10885
"Stray Kids",?,?,10883
"Пулюй Іван Павлович",?,?,10863
"Шухевич Роман Осипович",?,?,10861
"Ферменти",?,?,10859
"Ірландія",?,?,10857
"Молитва українського націоналіста",?,?,10828
"Люксембург",?,?,10797
"Список країн за населенням",?,?,10762
"Gmail",?,?,10755
"Міністр оборони України",?,?,10737
"Російська мова",?,?,10705
"Давньогрецька міфологія",?,?,10686
"Тарнавський Олександр Георгійович",?,?,10677
"Об'єднана штурмова бригада Нацполіції «Лють»",?,?,10668
"Федів Юлія Олександрівна",?,?,10663
"Привиди у Венеції",?,?,10663
"Геродот",?,?,10659
"Синдром порушення активності та уваги",?,?,10652
"Данія",?,?,10652
"Правила вживання апострофа в українській мові",?,?,10637
"Тернопіль",?,?,10621
"Сікорський Ігор Іванович",?,?,10620
"Оппенгеймер (фільм)",?,?,10604
"Рильський Максим Тадейович",?,?,10603
"Механізовані війська України",?,?,10595
"Данило Галицький",?,?,10593
"Литовські Статути",?,?,10558
"Прапори Європи",?,?,10545
"Нафтогаз України",?,?,10530
"Спіймати Кайдаша",?,?,10526
"Магдебурзьке право",?,?,10515
"Петлюра Симон Васильович",?,?,10509
"Османська імперія",?,?,10506
"Київстар",?,?,10500
"Туреччина",?,?,10490
"Динамо (Київ)",?,?,10488
"Закарпатська область",?,?,10479
"Альберт Ейнштейн",?,?,10359
"Економіка",?,?,10356
"Скоропадський Павло Петрович",?,?,10350
"Світан Роман Григорович",?,?,10344
"46-та окрема аеромобільна бригада (Україна)",?,?,10343
"Кам'яна доба",?,?,10342
"Чорновіл В'ячеслав Максимович",?,?,10341
"Служба безпеки України",?,?,10338
"Енеїда (Котляревський)",?,?,10334
"Ацтеки",?,?,10301
"МастерШеф (Україна)",?,?,10290
"Янукович Віктор Федорович",?,?,10275
"Східний фронт (Перша світова війна)",?,?,10256
"Паралелограм",?,?,10251
"Етнографічні групи українців",?,?,10248
"Втрати силових структур внаслідок російського вторгнення в Україну (вересень 2023)",?,?,10238
"Епітет",?,?,10216
"Жадан Сергій Вікторович",?,?,10211
"Свята і пам'ятні дні в Україні",?,?,10204
"Мавка",?,?,10192
"Президент України",?,?,10187
"Укрінформ",?,?,10185
"Китайська Народна Республіка",?,?,10177
"Кличко Віталій Володимирович",?,?,10168
"Втрати силових структур внаслідок російського вторгнення в Україну (серпень 2023)",?,?,10165
"59-та окрема мотопіхотна бригада (Україна)",?,?,10152
"Дунай",?,?,10152
"Державна служба України з надзвичайних ситуацій",?,?,10139
"Батьківщина-Мати (Київ)",?,?,10123
"Гідра (рід)",?,?,10123
"Галичина",?,?,10116
"Запоріжжя",?,?,10092
"Пекло (Божественна комедія)",?,?,10091
"Леонардо да Вінчі",?,?,10090
"71-ша окрема єгерська бригада (Україна)",?,?,10069
"Обертання Землі",?,?,10065
"Субрегіони Європи (ООН)",?,?,10064
"Луцьк",?,?,10037
"Кременчук",?,?,10011
"Кириленко Павло Олександрович",?,?,9989
"Давньогрецькі боги",?,?,9966
"8 вересня",?,?,9960
"Черкаси",?,?,9959
"Twitch",?,?,9958
"Географічний центр Європи",?,?,9948
"Військова служба правопорядку України",?,?,9945
"Історія хімії",?,?,9943
"Федеративна держава",?,?,9913
"Хвороба Лайма",?,?,9910
"Амінокислоти",?,?,9903
"Kraken (спецпідрозділ)",?,?,9893
"Іменник",?,?,9889
"Нормативно-правовий акт",?,?,9887
"Ісландія",?,?,9877
"Притча про блудного сина",?,?,9877
"Швеція",?,?,9866
"Рівне",?,?,9865
"24-та окрема механізована бригада (Україна)",?,?,9862
"Астрономія",?,?,9857
"Люксембург, Люксембург",?,?,9855
"Мілевський Артем Володимирович",?,?,9853
"Хорватія",?,?,9843
"Миколаїв",?,?,9834
"Захар Беркут (повість)",?,?,9811
"Яблуня домашня",?,?,9804
"Міста України (за населенням)",?,?,9803
"Відкриття морського шляху до Індії",?,?,9800
"Чехія",?,?,9800
"Гра престолів",?,?,9791
"Латинська мова",?,?,9788
"Тайсон Ф'юрі",?,?,9784
"Маріанна Бахмаєр",?,?,9783
"Третій Рейх",?,?,9780
"2023",?,?,9774
"Ромашка",?,?,9769
"Анальний секс",?,?,9750
"Лужні метали",?,?,9733
"Інки",?,?,9731
"Валовий внутрішній продукт",?,?,9729
"Речовина",?,?,9718
"67-ма окрема механізована бригада (Україна)",?,?,9699
"Дієслово",?,?,9649
"Австро-Угорщина",?,?,9636
"Нікола Тесла",?,?,9631
"Божественна комедія",?,?,9621
"Наполеонівські війни",?,?,9618
"Січові Стрільці",?,?,9604
"Симоненко Василь Андрійович",?,?,9599
"День Українського козацтва",?,?,9591
"BBC World Service",?,?,9581
"Прєдєл-Е",?,?,9566
"Електричний струм",?,?,9558
"Вересень",?,?,9554
"Українське козацтво",?,?,9549
"Вільям Шекспір",?,?,9540
"Список президентів США",?,?,9534
"Організація українських націоналістів",?,?,9525
"Органічні сполуки",?,?,9518
"Діалог",?,?,9497
"Чемпіонат Європи з футболу 2024",?,?,9492
"110-та окрема механізована бригада (Україна)",?,?,9488
"Якобінська диктатура",?,?,9477
"Су-24",?,?,9475
"2023 у телебаченні",?,?,9474
"Нобелівська премія",?,?,9471
"Міністерство оборони України",?,?,9457
"Вінстон Черчилль",?,?,9456
"Чорногорія",?,?,9455
"Фауст (Гете)",?,?,9440
"Оперативне командування «Північ»",?,?,9439
"Палеоліт",?,?,9435
"Одіссей",?,?,9432
"Індекс людського розвитку",?,?,9423
"Республіка",?,?,9416
"Фашизм",?,?,9416
"Створення світу в Біблії",?,?,9415
"Зінченко Олександр Володимирович",?,?,9401
"Мудрик Михайло Петрович",?,?,9382
"Промислова революція",?,?,9378
"Баал Шем Тов",?,?,9343
"Раян Ґослінґ",?,?,9342
"G7",?,?,9334
"День Незалежності України",?,?,9334
"Фрідріх Шиллер",?,?,9330
"День програміста",?,?,9326
"Стародавня Греція",?,?,9314
"Скелі Довбуша",?,?,9308
"Військово-морські сили Збройних сил України",?,?,9305
"Іслам",?,?,9300
"One Piece (телесеріал)",?,?,9297
"Україна (назва)",?,?,9287
"Севастополь",?,?,9278
"Православна церква України",?,?,9277
"Мосейчук Наталія Миколаївна",?,?,9261
"Грузія",?,?,9253
"Чикатило Андрій Романович",?,?,9251
"M1 Abrams",?,?,9248
"Ту-95",?,?,9240
"Магнітне поле",?,?,9231
"Джо Байден",?,?,9223
"Друга карабаська війна",?,?,9192
"Способи самогубства",?,?,9187
"Кіт",?,?,9176
"Ой на горі та й женці жнуть",?,?,9174
"Monobank",?,?,9173
"Поплавський Михайло Михайлович",?,?,9168
"SHUMEI",?,?,9168
"Біологічна класифікація",?,?,9166
"Грішечкін В'ячеслав Германович",?,?,9159
"БМ-21 «Град»",?,?,9158
"Українська греко-католицька церква",?,?,9147
"Твіттер",?,?,9111
"Патрон (пес)",?,?,9110
"Цілі сталого розвитку",?,?,9104
"Єлизавета II",?,?,9065
"Сталий розвиток",?,?,9061
"Скрябін (гурт)",?,?,9057
"Сівкович Володимир Леонідович",?,?,9056
"Право",?,?,9053
"10-та окрема гірсько-штурмова бригада (Україна)",?,?,9052
"Стародавній Єгипет",?,?,9048
"Пеніс",?,?,9041
"Історія Нагірного Карабаху",?,?,9034
"Іван Мазепа",?,?,9026
"Інформаційні процеси",?,?,9025
"Запорозька Січ",?,?,9008
"Аскольд",?,?,9002
"Київський метрополітен",?,?,9001
"Список держав та територій з обмеженим визнанням",?,?,8991
"Івасюк Володимир Михайлович",?,?,8980
"Список наук",?,?,8979
"Сковорода Григорій Савич",?,?,8976
"Старий Завіт",?,?,8964
"Житомир",?,?,8954
"36-та окрема бригада морської піхоти (Україна)",?,?,8952
"Мова",?,?,8951
"Фінляндія",?,?,8947
"Максиміліан Робесп'єр",?,?,8939
"Українське національне відродження",?,?,8931
"Київська область",?,?,8929
"Новоюліанський календар",?,?,8914
"Розетка (інтернет-магазин)",?,?,8911
"Греція",?,?,8897
"Епос",?,?,8892
"Кунілінгус",?,?,8872
"30-та окрема механізована бригада (Україна)",?,?,8864
"Чорнобильська катастрофа",?,?,8856
"Джозефіна Джексон",?,?,8829
"Pornhub",?,?,8822
"G20",?,?,8820
"Список 100 найкращих фільмів в історії українського кіно",?,?,8813
"Історичні пісні",?,?,8810
"Християнство",?,?,8804
"Івано-Франківська область",?,?,8799
"Вид",?,?,8790
"Полтава",?,?,8788
"Операція «Синиця»",?,?,8780
"Кріпацтво",?,?,8778
"Дніпропетровська область",?,?,8765
"Проголошення незалежності України 1991",?,?,8755
"Прийменник",?,?,8748
"Андорра",?,?,8730
"Плужник Євген Павлович",?,?,8730
"Синевир",?,?,8721
"Лагута Геннадій Миколайович",?,?,8720
"Окрема президентська бригада",?,?,8720
"ЛНЗ (футбольний клуб)",?,?,8717
"Складне речення",?,?,8708
"Лебіга Михайло Ігорович",?,?,8708
"Психологія",?,?,8707
"33-тя окрема механізована бригада (Україна)",?,?,8701
"Арістотель",?,?,8698
"Карабах",?,?,8690
"Волинська область",?,?,8674
"Роберт Оппенгеймер",?,?,8674
"Стівен Фрай",?,?,8663
"П",?,?,8662
"Українська православна церква (Московський патріархат)",?,?,8656
"Людина (рід)",?,?,8652
"54-та окрема механізована бригада (Україна)",?,?,8634
"Битва на Марні (1914)",?,?,8633
"Ігор Рюрикович",?,?,8624
"Третинний сектор економіки",?,?,8604
"Будапештський меморандум",?,?,8601
"Джейсон Стейтем",?,?,8599
"Ліліпутія",?,?,8597
"14 вересня",?,?,8586
"Генерал",?,?,8580
"День миру",?,?,8579
"Частини мови",?,?,8579
"Державні нагороди України",?,?,8576
"Омоніми",?,?,8572
"Стиль мовлення",?,?,8569
"Югославія",?,?,8567
"Х-101",?,?,8562
"Члени речення",?,?,8561
"Структура білків",?,?,8556
"Карти Google",?,?,8548
"Травна система",?,?,8544
"Клітинна мембрана",?,?,8544
"Великі десантні кораблі проєкту 775",?,?,8539
"Форма державного правління",?,?,8538
"Гнатковський Олексій Іванович",?,?,8527
"Українська революція (1917—1921)",?,?,8524
"Краматорськ",?,?,8516
"Вульва",?,?,8505
"Ентоні Блінкен",?,?,8496
"Етанол",?,?,8486
"Номерні знаки України",?,?,8482
"Škoda Octavia",?,?,8474
"14-та окрема механізована бригада (Україна)",?,?,8466
"Бій під Крутами (1918)",?,?,8465
"Публіцистичний стиль мовлення",?,?,8452
"Петро Конашевич-Сагайдачний",?,?,8446
"Одеса (готель)",?,?,8446
"Херсон",?,?,8446
"Художня література",?,?,8432
"Унітарна держава",?,?,8422
"28-ма окрема механізована бригада (Україна)",?,?,8400
"Загальна українська рада",?,?,8373
"Наука",?,?,8363
